Ranking;Name;Year;Minutes;Genres;Rating;Votes;Gross
139;The Big Lebowski;1998;117;Comedy, Crime;8.1;808436;17.50
140;La dolce vita;1960;174;Comedy, Drama;8;73902;19.52
141;Fantasia;1940;125;Animation, Family, Fantasy;7.7;97471;76.41
142;No Country for Old Men;2007;122;Crime, Drama, Thriller;8.2;971259;74.28
143;This Is Spinal Tap;1984;82;Comedy, Music;7.9;140602;4.74
144;Three Colours: Red;1994;99;Drama, Mystery, Romance;8.1;103968;4.04
145;Good Will Hunting;1997;126;Drama, Romance;8.3;966109;138.43
146;Federico Fellini's 8½;1963;138;Drama;8;118759;0.05
147;Spirited Away;2001;125;Animation, Adventure, Family;8.6;761176;10.06
148;La La Land;2016;128;Comedy, Drama, Music;8;587184;151.10
149;West Side Story;1961;153;Crime, Drama, Musical;7.6;114844;43.66
150;The Deer Hunter;1978;183;Drama, War;8.1;340348;48.98
151;M*A*S*H;1970;116;Comedy, Drama, War;7.4;73810;81.60
152;Beauty and the Beast;1991;84;Animation, Family, Fantasy;8;455543;218.97
153;The Lives of Others;2006;137;Drama, Mystery, Thriller;8.4;390237;11.29
154;The Artist;2011;100;Comedy, Drama, Romance;7.9;242170;44.67
155;Whiplash;2014;106;Drama, Music;8.5;856136;13.09
156;The King's Speech;2010;118;Biography, Drama, History;8;681472;138.80
157;Invasion of the Body Snatchers;1956;80;Drama, Horror, Sci-Fi;7.7;50838;-1
158;Birdman or (The Unexpected Virtue of Ignorance);2014;119;Comedy, Drama;7.7;630650;42.34
159;Manchester by the Sea;2016;137;Drama;7.8;283606;47.70
160;The Lord of the Rings: The Two Towers;2002;179;Action, Adventure, Drama;8.8;1661446;342.55
161;Close Encounters of the Third Kind;1977;138;Drama, Sci-Fi;7.6;203386;132.09
162;Brooklyn;2015;117;Drama, Romance;7.5;143322;38.32
163;Million Dollar Baby;2004;132;Drama, Sport;8.1;687744;100.49
164;Das Boot;1981;149;Drama, War;8.4;251779;11.49
165;Hell or High Water;2016;102;Crime, Drama, Thriller;7.6;232399;26.86
166;Ordinary People;1980;124;Drama;7.7;52920;54.80
167;The Pianist;2002;150;Biography, Drama, Music;8.5;830232;32.57
168;Come and See;1985;142;Drama, Thriller, War;8.4;80629;-1
169;Cinema Paradiso;1988;155;Drama, Romance;8.5;261617;11.99
170;His Girl Friday;1940;92;Comedy, Drama, Romance;7.8;59396;0.30
171;Harold and Maude;1971;91;Comedy, Drama, Romance;7.9;78106;-1
172;Witness for the Prosecution;1957;116;Crime, Drama, Mystery;8.4;126169;8.18
173;Paths of Glory;1957;88;Drama, War;8.4;198126;-1
174;Stand by Me;1986;89;Adventure, Drama;8.1;404764;52.29
175;Eternal Sunshine of the Spotless Mind;2004;108;Drama, Romance, Sci-Fi;8.3;1006241;34.40
176;Barry Lyndon;1975;185;Adventure, Drama, War;8.1;169044;-1
177;Amadeus;1984;160;Biography, Drama, Music;8.4;401718;51.97
178;Oldboy;2003;120;Action, Drama, Mystery;8.4;579178;0.71
179;The Lion King;1994;88;Animation, Adventure, Drama;8.5;1055462;422.78
180;Boyhood;2014;165;Drama;7.9;355435;25.38
181;Argo;2012;120;Biography, Drama, Thriller;7.7;615720;136.03
182;Thelma & Louise;1991;130;Adventure, Crime, Drama;7.5;156770;45.36
183;A Matter of Life and Death;1946;104;Drama, Fantasy, Romance;8;22424;-1
184;Manhattan;1979;96;Comedy, Drama, Romance;7.9;141108;45.70
185;The Life and Death of Colonel Blimp;1943;163;Drama, Romance, War;8;15110;-1
186;The Great Escape;1963;172;Adventure, Drama, History;8.2;245410;12.10
187;Spartacus;1960;197;Adventure, Biography, Drama;7.9;135856;30.00
188;Monty Python and the Holy Grail;1975;91;Adventure, Comedy, Fantasy;8.2;542235;1.23
189;Brazil;1985;132;Drama, Sci-Fi;7.9;201917;9.93
190;Magnolia;1999;188;Drama;8;313899;22.46
191;Tootsie;1982;116;Comedy, Drama, Romance;7.4;108047;177.20
192;The Departed;2006;151;Crime, Drama, Thriller;8.5;1321691;132.38
193;Arrival;2016;116;Drama, Mystery, Sci-Fi;7.9;694323;100.55
194;Casino Royale;2006;144;Action, Adventure, Thriller;8;658343;167.45
195;When Harry Met Sally;1989;95;Comedy, Drama, Romance;7.7;222390;92.82
196;Slumdog Millionaire;2008;120;Crime, Drama, Romance;8;845830;141.32
197;Blue Velvet;1986;120;Crime, Drama, Mystery;7.7;200847;8.55
198;The King of Comedy;1982;109;Comedy, Crime, Drama;7.8;105129;2.50
199;The Breakfast Club;1985;97;Comedy, Drama;7.8;400039;45.88
200;WALL·E;2008;98;Animation, Adventure, Family;8.4;1113514;223.81
201;Inside Out;2015;95;Animation, Adventure, Comedy;8.2;712529;356.46
202;Ferris Bueller's Day Off;1986;103;Comedy;7.8;360121;70.14
203;Easy Rider;1969;95;Adventure, Drama;7.3;110981;41.73
204;Young Frankenstein;1974;106;Comedy;8;159719;86.30
205;Amélie;2001;122;Comedy, Romance;8.3;756828;33.23
206;Seven;1995;127;Crime, Drama, Mystery;8.6;1645902;100.13
207;All the President's Men;1976;138;Drama, History, Thriller;7.9;116830;70.60
208;Leon;1994;110;Action, Crime, Drama;8.5;1158185;19.50
209;The Kid;1921;68;Comedy, Drama, Family;8.3;127123;5.45
210;The Passion of Joan of Arc;1928;110;Biography, Drama, History;8.2;55476;0.02
211;Life Is Beautiful;1997;116;Comedy, Drama, Romance;8.6;693917;57.60
212;Rocky;1976;120;Drama, Sport;8.1;576278;117.24
213;Trainspotting;1996;93;Drama;8.1;687567;16.50
214;Star Wars: Return of the Jedi;1983;131;Action, Adventure, Fantasy;8.3;1052027;309.13
215;The Gold Rush;1925;95;Adventure, Comedy, Drama;8.2;112083;5.45
216;Unforgiven;1992;130;Drama, Western;8.2;412970;101.16
217;Memento;2000;113;Mystery, Thriller;8.4;1235654;25.54
218;Sunrise: A Song of Two Humans;1927;94;Drama, Romance;8.1;51439;0.54
219;Nashville;1975;160;Comedy, Drama, Music;7.7;26741;14.82
220;Duck Soup;1933;69;Comedy, Musical;7.8;60513;-1
221;Sullivan's Travels;1941;90;Adventure, Comedy, Drama;7.9;26734;-1
222;Cabaret;1972;124;Drama, Music, Musical;7.8;55754;42.77
223;Network;1976;121;Drama;8.1;160501;-1
224;Saving Private Ryan;1998;169;Drama, War;8.6;1387433;216.54
225;The African Queen;1951;105;Adventure, Drama, Romance;7.7;79452;0.54
226;Who's Afraid of Virginia Woolf?;1966;131;Drama;8;75996;-1
227;Red River;1948;133;Drama, Western;7.8;31743;-1
228;In the Heat of the Night;1967;110;Drama, Mystery, Thriller;7.9;77132;24.38
229;Dial M for Murder;1954;105;Crime, Thriller;8.2;176880;0.01
230;The Wild Bunch;1969;145;Action, Adventure, Western;7.9;85399;12.06
231;Titanic;1997;194;Drama, Romance;7.9;1170288;659.33
232;A Night at the Opera;1935;96;Comedy, Music, Musical;7.8;33226;2.54
233;Platoon;1986;120;Drama, War;8.1;415316;138.53
234;Once Upon a Time in America;1984;229;Crime, Drama;8.3;352653;5.32
235;The Spirit of the Beehive;1973;98;Drama, Fantasy;7.8;18878;-1
236;A Separation;2011;123;Drama;8.3;245844;7.10
237;Toy Story 3;2010;103;Animation, Adventure, Comedy;8.3;835282;415.00
238;Bringing Up Baby;1938;102;Comedy;7.8;62161;-1
239;The Sixth Sense;1999;107;Drama, Mystery, Thriller;8.2;991318;293.51
240;Swing Time;1936;103;Comedy, Musical, Romance;7.5;13873;-1
241;The Conversation;1974;113;Drama, Mystery, Thriller;7.8;113043;4.42
242;Sophie's Choice;1982;150;Drama, Romance;7.5;48814;30.04
243;The French Connection;1971;104;Action, Crime, Drama;7.7;124026;15.63
244;Do the Right Thing;1989;120;Comedy, Drama;7.9;103157;27.55
245;Yankee Doodle Dandy;1942;126;Biography, Drama, Family;7.6;15896;11.80
246;Ben-Hur;1959;212;Adventure, Drama;8.1;240134;74.70
247;Rebel Without a Cause;1955;111;Drama;7.6;91823;-1
248;Almost Famous;2000;122;Adventure, Comedy, Drama;7.9;277681;32.53
249;Brokeback Mountain;2005;134;Drama, Romance;7.7;358654;83.04
250;Fitzcarraldo;1982;158;Adventure, Drama;8;35576;-1
251;Stagecoach;1939;96;Adventure, Drama, Western;7.8;49733;-1
252;The English Patient;1996;162;Drama, Romance, War;7.4;191457;78.65
253;American History X;1998;119;Crime, Drama;8.5;1120669;6.72
254;The Magnificent Ambersons;1942;88;Drama, Romance;7.6;25157;-1
255;The Sting;1973;129;Comedy, Crime, Drama;8.3;263168;159.60
256;A Man for All Seasons;1966;120;Biography, Drama, History;7.7;34987;28.35
257;Lost in Translation;2003;102;Comedy, Drama;7.7;456338;44.59
258;Reservoir Dogs;1992;99;Crime, Thriller;8.3;1016403;2.83
259;Shakespeare in Love;1998;123;Comedy, Drama, History;7.1;226125;100.32
260;Indiana Jones and the Last Crusade;1989;127;Action, Adventure;8.2;754454;197.17
261;The Princess Bride;1987;98;Adventure, Family, Fantasy;8;428503;30.86
262;Solaris;1972;167;Drama, Mystery, Sci-Fi;8;92144;-1
263;A Woman Under the Influence;1974;155;Drama, Romance;8.1;25711;13.34
264;Up;2009;96;Animation, Adventure, Comedy;8.3;1041976;293.00
265;The Green Mile;1999;189;Crime, Drama, Fantasy;8.6;1297477;136.80
266;Doctor Zhivago;1965;193;Drama, Romance, War;7.9;77524;111.72
267;Pan's Labyrinth;2006;118;Drama, Fantasy, War;8.2;669552;37.63
268;Goldfinger;1964;110;Action, Adventure, Thriller;7.7;191962;51.08
269;Airplane!;1980;88;Comedy;7.7;240989;83.40
270;Requiem for a Dream;2000;102;Drama;8.3;841316;3.64
271;The Thing;1982;109;Horror, Mystery, Sci-Fi;8.2;426179;13.78
272;Jurassic Park;1993;127;Action, Adventure, Sci-Fi;8.2;986758;402.45
273;The Terminator;1984;107;Action, Sci-Fi;8.1;864476;38.40
274;Blazing Saddles;1974;93;Comedy, Western;7.7;140895;119.50
275;Finding Nemo;2003;100;Animation, Adventure, Comedy;8.2;1042137;380.84
276;The Wrestler;2008;109;Drama, Sport;7.9;307450;26.24
277;Before Sunset;2004;80;Drama, Romance;8.1;265170;5.82
278;Downfall;2004;156;Biography, Drama, History;8.2;356654;5.51
279;Full Metal Jacket;1987;116;Drama, War;8.3;742621;46.36
280;The Thin Red Line;1998;170;Drama, History, War;7.6;189002;36.40
281;Rio Bravo;1959;141;Western;8;63364;12.54
282;Harvey;1950;104;Comedy, Drama, Fantasy;7.9;56021;-1
283;Planet of the Apes;1968;112;Adventure, Sci-Fi;8;181315;33.40
284;Grave of the Fireflies;1988;89;Animation, Drama, War;8.5;277636;-1
285;La haine;1995;98;Crime, Drama;8.1;174830;0.31
286;Three Colors: Blue;1993;94;Drama, Music, Mystery;7.9;103058;1.32
287;Star Trek II: The Wrath of Khan;1982;113;Action, Adventure, Sci-Fi;7.7;122694;78.91
288;The Man Who Would Be King;1975;129;Adventure, War;7.8;49518;-1
289;The Red Shoes;1948;135;Drama, Music, Romance;8.1;35592;10.90
290;Gladiator;2000;155;Action, Adventure, Drama;8.5;1495870;187.71
291;Boogie Nights;1997;155;Drama;7.9;267181;26.40
292;La Belle et la Bête;1946;96;Drama, Fantasy, Romance;7.9;26771;0.30
293;Badlands;1973;94;Action, Crime, Drama;7.7;73759;-1
294;My Father and My Son;2005;112;Drama, Family;8.2;87216;-1
295;Miracle on 34th Street;1947;96;Comedy, Drama, Family;7.9;48634;2.65
296;For a Few Dollars More;1965;132;Western;8.2;257636;15.00
297;Superman;1978;143;Action, Adventure, Sci-Fi;7.4;176286;134.22
298;Children of Heaven;1997;89;Drama, Family, Sport;8.2;75374;0.93
299;Ran;1985;162;Action, Drama, War;8.2;126432;4.14
300;The Hunt;2012;115;Drama;8.3;330746;0.69
301;Days of Heaven;1978;94;Drama, Romance;7.8;58840;-1
302;Braveheart;1995;178;Biography, Drama, History;8.4;1036814;75.60
303;Harry Potter and the Deathly Hallows: Part 2;2011;130;Adventure, Family, Fantasy;8.1;873536;381.01
