Ranking;Name;Year;Minutes;Genres;Rating;Votes;Gross
389;Catch Me If You Can;2002;141;Biography, Crime, Drama;8.1;979510;164.62
390;Akira;1988;124;Animation, Action, Drama;8;187724;0.55
391;Paper Moon;1973;102;Comedy, Crime, Drama;8.1;48333;30.93
392;Infernal Affairs;2002;101;Action, Crime, Drama;8;125488;0.17
393;Mary Poppins;1964;139;Comedy, Family, Fantasy;7.8;173991;102.27
394;Dog Day Afternoon;1975;125;Biography, Crime, Drama;8;258298;50.00
395;The Triplets of Belleville;2003;80;Animation, Adventure, Comedy;7.7;54879;7.00
396;Wings of Desire;1987;128;Drama, Fantasy, Romance;8;71812;3.33
397;What Ever Happened to Baby Jane?;1962;134;Drama, Horror, Thriller;8;57249;4.05
398;Anomalisa;2015;90;Animation, Comedy, Drama;7.2;72442;3.76
399;Edward Scissorhands;1990;105;Drama, Fantasy, Romance;7.9;492709;56.36
400;Ghostbusters;1984;105;Action, Comedy, Fantasy;7.8;416849;238.63
401;Halloween;1978;91;Horror, Thriller;7.7;282519;47.00
402;Fantastic Mr. Fox;2009;87;Animation, Adventure, Comedy;7.9;233687;21.00
403;The Help;2011;146;Drama;8.1;460105;169.71
404;Dazed and Confused;1993;103;Comedy;7.6;185433;7.99
405;The Nightmare Before Christmas;1993;76;Animation, Family, Fantasy;7.9;341309;75.08
406;In the Mood for Love;2000;98;Drama, Romance;8.1;150943;2.73
407;The Iron Giant;1999;86;Animation, Action, Adventure;8.1;199248;23.16
408;Avengers Assemble;2012;143;Action, Adventure, Sci-Fi;8;1388848;623.28
409;Forbidden Planet;1956;98;Adventure, Sci-Fi;7.5;50062;3.00
410;Wild Strawberries;1957;91;Drama, Romance;8.1;108101;-1
411;The Man Who Shot Liberty Valance;1962;123;Drama, Western;8.1;76788;-1
412;Andaz Apna Apna;1994;160;Action, Comedy, Romance;8;53678;-1
413;Nausicaä of the Valley of the Wind;1984;117;Animation, Adventure, Sci-Fi;8;170193;0.50
414;Letters from Iwo Jima;2006;141;Action, Adventure, Drama;7.9;163737;13.76
415;Hero;2002;120;Action, Adventure, Drama;7.9;182204;53.71
416;Paris, Texas;1984;145;Drama;8.1;107292;2.18
417;Fanny and Alexander;1982;188;Drama;8.1;64189;4.97
418;Mystic River;2003;138;Crime, Drama, Mystery;7.9;457859;90.14
